ward_id,ward_name,circle,zone,area_sq_m,latitude,longitude,population,population_density,elderly_percentage,outdoor_worker_density,healthcare_access,informal_settlement_percentage,temperature,relative_humidity,wet_bulb_temperature,wind_speed,solar_radiation,dew_point,pressure,cloud_cover,land_surface_temperature,heat_index,estimated_wbgt,vulnerability_score,risk_score,risk_level,data_type,weather_timestamp,vulnerability_level
134,134-ALWAL,27-ALWAL,KUKATPALLY ZONE,3325084.180507289,17.501413726523257,78.50359535416924,66070,19870.17,13.83,16.98,64.95,18.32,30.97,66.31,28.61,4.51,347.97,24.23,985.61,18.81,33.03,30.97,26.57,28.71,48.65,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
132,132-JEEDIMETLA,25-QUTUBULLAPUR,KUKATPALLY ZONE,8935317.452267768,17.5138277325321,78.47583150978734,70666,7908.62,11.16,19.65,71.35,12.96,32.4,44.58,28.52,4.47,490.46,21.32,989.63,52.56,38.41,32.4,26.94,21.94,43.17,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
17,CONTONMENT AREA,CANTONMENT AREA, ,104537.17829755532,17.48172128640626,78.49019095802527,52386,501123.15,10.02,60.72,81.95,9.61,28.93,53.93,25.7,4.61,645.27,19.72,999.38,7.54,29.93,28.93,24.42,48.68,42.18,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
120,120-BALA NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,7433558.989598776,17.47601503478693,78.44702504259435,26583,3576.08,11.22,75.0,61.31,7.07,30.98,52.15,27.63,4.92,682.26,21.41,996.35,41.57,37.27,30.98,26.22,39.24,48.16,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
130,130-SUBHASH NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,7947762.319994636,17.527338469882555,78.45022552869132,74263,9343.89,5.59,18.6,76.86,11.33,30.58,57.53,27.61,0.84,690.97,22.09,997.06,38.57,32.59,31.79,26.13,12.83,45.08,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
131,131-QUTHBULLAPUR,25-QUTUBULLAPUR,KUKATPALLY ZONE,3651445.1580893006,17.4955724154104,78.45714042093657,48175,13193.41,6.44,29.84,63.48,21.15,28.57,60.79,25.82,3.45,395.52,20.73,1004.3,22.67,33.68,28.57,24.19,25.09,37.28,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
121,121-KUKATPALLY,24-KUKATPALLY,KUKATPALLY ZONE,3264105.8322230866,17.487752050111048,78.42198505724768,51523,15784.72,6.87,39.78,66.0,26.01,27.87,47.92,24.23,0.73,765.3,17.46,997.34,34.55,32.63,28.53,23.3,30.04,35.64,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
125,125-GAJULARAMARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,10711081.597570878,17.526852644311568,78.41259278987549,42843,3999.88,8.01,59.2,82.1,22.61,32.37,65.24,29.94,4.05,483.96,25.42,998.29,22.55,39.71,32.37,27.92,31.12,56.2,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
124,124-ALLYWN COLONY,24-KUKATPALLY,KUKATPALLY ZONE,2735582.516972,17.50519837403558,78.40852812503326,30230,11050.66,12.9,21.18,34.12,12.81,30.3,58.63,27.4,3.99,727.59,22.02,1008.55,13.57,34.94,30.3,25.97,34.76,47.38,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
114,114-K.P.H.B.COLONY,23-MOOSAPET,KUKATPALLY ZONE,6146262.282156483,17.486127873915756,78.38396186579914,80093,13031.17,8.33,31.57,45.96,32.8,28.96,39.08,24.69,5.57,618.19,16.77,993.93,27.93,32.57,28.96,23.69,37.38,31.17,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
116,116-ALLAPUR,23-MOOSAPET,KUKATPALLY ZONE,3273570.344197877,17.460161022641383,78.40025768113169,70365,21494.88,10.18,45.88,42.8,30.87,30.81,38.41,26.5,5.78,386.01,18.49,991.01,12.92,34.79,30.81,25.1,44.42,37.55,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
115,115-BALAJI NAGAR,23-MOOSAPET,KUKATPALLY ZONE,8755051.971049206,17.475619686959025,78.40517650960591,61138,6983.17,16.05,41.09,28.33,20.08,33.26,57.88,30.31,4.3,566.25,24.83,997.14,41.46,40.8,33.26,28.43,49.01,59.75,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
117,117-MOOSAPET,23-MOOSAPET,KUKATPALLY ZONE,1933052.9414491013,17.46121965804169,78.42222361610564,44961,23259.06,10.25,29.73,56.47,14.17,26.44,55.79,23.34,3.25,682.11,17.6,997.19,12.0,32.51,26.44,22.31,29.13,30.95,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
105,105-GACHIBOWLI,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,49749134.48030152,17.44163336573651,78.32388060083703,73125,1469.87,14.08,33.13,80.74,28.58,28.01,56.97,24.99,4.73,724.2,19.4,992.37,49.24,32.24,28.01,23.82,33.05,37.96,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
110,110-CHANDANAGAR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,6746740.379495949,17.502381156495275,78.33088426854644,54543,8084.35,8.23,15.75,63.16,24.26,29.15,57.72,26.19,3.21,596.03,20.7,989.84,11.37,33.68,29.15,24.76,24.04,39.51,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
111,111-BHARATHI NAGAR,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,1079529.1999337163,17.479474513556948,78.3033078080978,47708,44193.34,10.78,31.67,71.36,4.62,33.92,60.26,31.14,4.0,880.4,25.97,1006.55,23.67,35.79,33.92,29.46,23.26,58.38,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
106,106-SERILINGAMPALLY,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,11393187.898618596,17.46895588283662,78.34057608799503,48180,4228.84,8.17,31.27,86.52,21.18,31.57,67.48,29.29,5.48,791.28,25.06,996.63,22.51,37.34,31.57,27.61,20.94,52.78,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
104,104-KONDAPUR,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,14637967.787632674,17.44678809103248,78.37383293702945,33224,2269.71,10.31,38.25,90.57,25.14,32.53,46.89,28.82,3.16,576.37,21.91,991.34,61.5,34.02,32.53,27.26,26.06,48.2,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
109,109-HAFEEZPET,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,3920532.556982245,17.489713501354444,78.34558316880451,24173,6165.74,14.44,27.23,66.82,11.2,28.72,46.28,24.96,5.21,747.52,17.98,999.58,41.61,35.22,28.72,23.96,28.66,34.03,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
118,118-FATEH NAGAR,23-MOOSAPET,KUKATPALLY ZONE,3327590.948023777,17.46373984824639,78.44227100978115,55157,16575.66,5.45,41.6,91.01,24.28,28.76,47.07,25.06,5.02,948.74,18.17,994.45,30.77,34.02,28.76,24.24,21.38,34.56,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
143,143-TARNAKA,29-SECUNDERABAD,SECUNDERABAD ZONE,2016686.8213935976,17.43489305784213,78.54317187692939,77488,38423.42,13.02,49.18,69.57,4.54,31.9,60.89,29.16,2.57,953.28,24.07,993.74,44.97,41.67,32.12,27.74,31.56,57.46,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
8,8-HABSIGUDA,2-UPPAL,L.B.NAGAR ZONE,5262073.704718098,17.405673847851144,78.53994005637404,22275,4233.12,12.33,37.18,53.76,38.03,31.12,70.45,29.05,5.46,411.24,25.21,997.81,0.0,33.92,31.12,26.97,43.51,54.47,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
40,40-RIYASATNAGAR,8-CHANDRAYANGUTTA,CHARMINAR ZONE,1133734.5916682463,17.342178613104135,78.49663032452537,75505,66598.48,9.42,39.92,57.9,36.98,32.1,53.69,28.86,5.05,462.49,22.83,988.54,34.14,36.89,32.1,27.08,41.81,50.18,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
36,36-LALITHABAGH,8-CHANDRAYANGUTTA,CHARMINAR ZONE,989995.4869086632,17.34652014336579,78.49085374057883,73451,74193.27,6.44,35.74,42.83,18.97,30.62,35.0,26.07,4.15,872.44,17.62,996.76,74.95,39.22,30.62,25.25,34.12,37.93,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
34,34-TALABCHANCHALAM,7-SANTOSH NAGAR,CHARMINAR ZONE,660786.0113630638,17.351859041516597,78.48587508422366,36542,55300.81,11.75,35.0,52.9,26.36,31.56,40.96,27.42,2.86,440.09,19.75,1004.56,37.65,38.94,31.56,25.95,39.72,43.44,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
22,22-CHAITHANYAPURI,5-SAROOR NAGAR,L.B.NAGAR ZONE,1985441.8581932983,17.37444548324827,78.53389342219222,60321,30381.65,9.65,24.9,61.91,3.0,31.32,49.67,27.79,2.71,395.17,21.25,997.33,36.36,34.92,31.32,26.11,21.21,42.04,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
37,37-KURMAGUDA,7-SANTOSH NAGAR,CHARMINAR ZONE,1035999.4227496556,17.356662587040997,78.50082206361502,29070,28059.86,12.31,39.43,81.66,8.12,32.56,52.42,29.23,3.19,537.35,23.04,993.12,45.96,38.0,32.56,27.51,25.43,50.56,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
31,31-REIN BAZAR,7-SANTOSH NAGAR,CHARMINAR ZONE,666030.9607613252,17.35856466327157,78.48989853735279,68791,103284.99,11.58,33.64,97.25,18.47,32.61,53.92,29.39,4.81,691.44,23.4,992.46,52.91,37.62,32.61,27.79,25.68,51.22,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
29,29-CHAWANI,6-MALAKPET,CHARMINAR ZONE,988226.6977171073,17.364645240225993,78.4970688005827,64935,65708.61,17.11,64.3,44.5,9.13,27.76,58.39,24.85,2.57,602.59,19.44,992.95,0.0,33.32,27.82,23.55,50.92,43.28,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,HIGH
38,38-I.S.SADAN,7-SANTOSH NAGAR,CHARMINAR ZONE,2663589.3907544203,17.35250729772361,78.51893998959613,41753,15675.46,10.66,57.03,74.68,30.57,26.51,54.88,23.35,4.66,509.4,17.48,993.73,1.35,30.11,26.51,22.15,39.34,31.22,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
18,18-LINGOJIGUDA,4-LB. NAGAR,L.B.NAGAR ZONE,2705280.8975259606,17.348306932584286,78.53857369667193,22550,8335.55,7.92,40.4,50.31,45.97,33.0,68.49,30.8,2.14,505.38,26.7,993.11,39.21,37.82,34.03,28.66,43.53,62.65,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
16,16-HASTHINAPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,4888827.555694174,17.328412805766426,78.54044488022167,83036,16984.85,12.13,24.32,76.07,7.88,33.38,51.24,29.96,3.69,498.9,23.62,999.58,20.7,35.18,33.38,28.15,21.56,50.67,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
20,20-R.K.PURAM,5-SAROOR NAGAR,L.B.NAGAR ZONE,2455294.202802988,17.362161034223313,78.55004450670556,47861,19492.98,12.27,19.43,65.77,11.95,28.96,49.38,25.42,4.16,470.48,18.83,986.33,61.24,34.23,28.96,24.05,24.78,33.54,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
19,19-SAROORNAGAR,5-SAROOR NAGAR,L.B.NAGAR ZONE,2292708.9437514213,17.360444230446664,78.53952823255567,77839,33950.67,16.26,51.68,36.87,24.83,27.28,62.79,24.68,7.67,1000.0,19.84,999.31,28.7,33.18,27.28,23.73,53.17,42.65,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,HIGH
14,14-B.N.REDDY NAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,8693891.065747818,17.31523252472366,78.5734775312055,63420,7294.78,14.42,38.68,83.78,41.33,31.2,42.64,27.18,1.93,670.58,19.73,993.1,0.0,35.74,31.2,25.94,39.71,46.51,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
12,12-MANSOORABAD,3-HAYAT NAGAR,L.B.NAGAR ZONE,11006985.046989547,17.34118679202353,78.58782596382977,70151,6373.32,12.75,41.72,57.71,7.33,32.86,61.9,30.19,6.21,770.75,25.24,996.88,9.64,34.63,32.86,28.48,32.04,56.73,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
21,21-KOTHAPET,5-SAROOR NAGAR,L.B.NAGAR ZONE,2385754.828873175,17.37371475167228,78.55024844758073,68913,28885.2,16.62,10.58,58.92,24.99,34.6,59.03,31.73,4.22,536.86,26.4,989.37,0.0,41.57,34.6,29.66,34.78,59.21,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
11,11-NAGOLE,3-HAYAT NAGAR,L.B.NAGAR ZONE,11068491.356923612,17.36925644419256,78.57140883431404,31040,2804.36,7.34,47.98,49.81,43.86,32.03,56.53,28.99,4.62,588.39,23.34,1001.64,30.32,37.76,32.03,27.29,44.24,53.38,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
10,10-UPPAL,2-UPPAL,L.B.NAGAR ZONE,8637914.482584074,17.39504681935031,78.56296389662468,42381,4906.39,9.26,41.36,56.88,3.0,30.26,73.88,28.43,4.18,498.7,25.03,1001.23,31.23,33.8,30.26,26.45,26.17,50.9,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
54,GRAMPANCHAYAT PEERZADI GUDA,GRAMPANCHAYAT PEERZADIGUDA, ,126321.4666744412,17.40754217324666,78.56997847339062,49270,390036.64,8.26,19.45,75.27,6.63,29.21,51.78,25.84,4.67,169.21,19.57,999.8,26.51,33.65,29.21,24.1,30.06,32.65,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
55,KALAVANCHA GRAM PANCHAYATH,KALAVANCHA GRAMPANCHAYATH, ,302009.6932456224,17.32567817542482,78.58964809893376,51352,170034.28,10.14,28.4,64.78,16.92,31.02,78.6,29.53,3.77,385.74,26.74,987.43,56.58,33.02,31.57,27.26,33.29,56.38,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
13,13-HAYATHNAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,10130161.16035993,17.32081096318208,78.60064811329705,20934,2066.5,6.68,38.69,73.59,15.75,30.4,55.75,27.3,6.18,312.19,21.55,999.15,58.97,33.35,30.4,25.51,22.71,38.35,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
15,15-VANASTHALIPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,3657312.278909105,17.335131026944232,78.5607723077716,54620,14934.46,13.72,35.73,74.15,31.75,28.97,45.23,25.14,3.32,237.54,18.02,997.02,31.59,32.89,28.97,23.63,37.04,33.66,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
26,26-OLD MALAKPET,6-MALAKPET,CHARMINAR ZONE,2119960.3875406804,17.379962529261828,78.50462653528552,28337,13366.76,10.72,30.91,90.45,24.9,35.1,58.7,32.21,5.7,416.79,26.84,986.97,0.0,42.55,35.1,29.98,24.67,55.87,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
151,17-CHAMPAPET,4-LB. NAGAR,L.B.NAGAR ZONE,2272337.12258051,17.34314932107017,78.52557637562042,67806,29839.76,6.35,33.55,62.17,3.0,34.57,47.24,30.88,3.03,845.24,24.02,994.88,47.35,38.29,34.57,29.37,19.83,54.85,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
39,39-SANTOSH NAGAR,7-SANTOSH NAGAR,CHARMINAR ZONE,1064852.2720209374,17.34922761430811,78.50200608930804,63764,59880.61,7.95,31.47,42.89,28.18,33.27,50.48,29.81,3.91,612.45,23.37,996.82,46.11,39.55,33.27,28.13,37.74,53.9,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
66,66-LUNGER HOUSE,13-KARWAN,KHAIRATHABAD ZONE,6957304.92372224,17.37937268929349,78.39779930263693,79809,11471.25,12.6,37.14,86.14,15.07,29.16,61.97,26.5,2.39,839.4,21.55,997.78,41.19,33.08,29.57,25.22,25.98,46.13,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
112,112-RAMACHANDRAPURAM,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,2416456.049523573,17.5106295236241,78.29595937816846,67899,28098.59,14.43,55.6,62.36,37.29,32.71,63.56,30.16,4.68,689.87,25.42,995.89,54.63,38.21,32.71,28.34,50.0,62.15,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,HIGH
128,128-CHINTAL,26-GAJULARAMARAM,KUKATPALLY ZONE,4291447.254106961,17.503252974456426,78.44157908644668,42565,9918.57,18.49,10.0,86.95,14.47,32.28,51.78,28.9,6.17,753.04,22.63,996.46,11.7,37.0,32.28,27.44,24.16,48.11,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
126,126-JAGADGIRI GUTTA,26-GAJULARAMARAM,KUKATPALLY ZONE,2285428.254419857,17.507523287527626,78.42400425006468,82823,36239.6,21.7,31.68,74.52,14.36,31.89,67.87,29.64,3.88,466.85,25.46,1002.37,75.18,38.63,31.89,27.59,39.09,57.95,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
129,129-SURARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,8689154.4221276,17.540084177499967,78.42683803301777,45526,5239.41,12.95,37.47,65.77,28.49,33.5,69.58,31.37,3.7,709.07,27.41,1001.13,15.81,37.43,33.5,29.37,37.25,63.77,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
133,133-MACHABOLARUM,27-ALWAL,KUKATPALLY ZONE,5937971.781768736,17.518079725875097,78.48311721204054,39830,6707.68,8.04,39.14,73.93,31.16,32.27,72.36,30.34,2.33,743.88,26.74,980.66,49.98,34.13,33.42,28.43,30.78,61.74,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
138,138-MOULA-ALI,28-MALKAJGIRI,SECUNDERABAD ZONE,3562137.3289497257,17.468930145825947,78.55428697880258,78670,22085.06,5.0,29.79,98.0,27.38,32.48,63.29,29.91,3.66,521.97,25.14,993.41,1.25,34.72,32.48,27.96,16.76,52.15,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
107,107-MADHAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,10979030.39370134,17.465592567127132,78.37989838301897,42820,3900.16,12.44,10.41,98.0,3.0,32.27,71.63,30.29,1.61,715.12,26.6,994.18,16.39,36.21,33.87,28.37,9.15,57.07,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
69,OU,OU, ,4269197.581924031,17.41169356049324,78.52647085593482,23114,5414.13,8.65,39.59,69.18,28.46,31.68,39.19,27.43,2.63,716.25,19.52,986.24,65.33,34.18,31.68,26.25,31.81,44.0,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
149,149-BEGUMPET,30-BEGUMPET,SECUNDERABAD ZONE,5684547.56276703,17.443850505183622,78.46836223913674,49460,8700.78,10.05,59.18,70.72,9.59,27.43,54.82,24.27,4.34,526.58,18.4,995.47,29.78,33.25,27.43,23.0,31.61,33.33,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
135,135-VENKATAPURAM,27-ALWAL,KUKATPALLY ZONE,2961900.2447269,17.488973601689366,78.49788491280397,71310,24075.76,9.36,13.53,86.3,24.82,31.17,49.33,27.62,5.98,429.13,21.03,1001.24,51.8,35.24,31.17,26.0,19.23,38.16,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
123,123-HYDER NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,3643554.48869713,17.502733725146445,78.3891679447305,30694,8424.19,11.01,47.09,53.62,4.92,29.89,59.19,27.03,8.21,418.7,21.73,989.57,39.74,39.64,29.89,25.32,31.83,39.77,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
122,122-VIVEKANANDA NAGAR COLONY,24-KUKATPALLY,KUKATPALLY ZONE,1677579.6973904197,17.49529188897502,78.41405023903276,49017,29218.88,15.23,30.4,73.66,27.36,28.44,52.29,25.1,3.12,634.71,18.9,996.68,32.9,29.96,28.44,23.89,36.15,38.55,MODERATE,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
113,113-PATANCHERUVU,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,14608825.439263685,17.532964565347175,78.2641052649039,26704,1827.94,12.05,34.14,67.56,12.32,34.36,56.34,31.31,6.15,675.59,25.63,990.42,62.28,39.77,34.36,29.46,28.0,56.06,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,MODERATE
108,108-MIYAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,8167895.308614803,17.50778126239338,78.35876516392774,63994,7834.82,10.94,20.26,73.34,6.61,34.46,76.82,32.84,4.37,485.27,29.82,991.64,30.27,37.2,34.47,30.36,18.75,61.35,HIGH,SYNTHETIC_PROTOTYPE,2026-09-14 14:00,LOW
